customer_id,name,email,address,dataset
1.0,Collin Cruz,jason95@norris-rivas.com,"597 Zachary Island
South Oscar, WI 92514",Customers
2.0,Andrew Stephens,jonathan48@gmail.com,"745 Barbara Meadow Apt. 055
South Tara, IN 74133",Customers
3.0,Kim Navarro,pamela57@pacheco-coleman.com,"376 Jesse Mews Apt. 964
Nelsonhaven, IA 27399",Customers
4.0,Mrs. Ashley Johnson,justinwright@hernandez.net,"72056 Mitchell Fall Suite 731
Port Derrick, PA 47771",Customers
5.0,Justin Alvarez,fjoyce@hotmail.com,"560 Christina Station Suite 797
East Jason, MN 23710",Customers
6.0,Robert Watkins,adamsmichael@gmail.com,"2245 Thompson Inlet Suite 932
Port David, WY 76267",Customers
7.0,Abigail Proctor,qbrown@logan-brown.com,"5978 Kenneth Prairie Apt. 098
Newtonville, KY 09717",Customers
8.0,Michele Cantu,jerrymiller@yahoo.com,"9373 Brittany Mountain
Norrishaven, OR 00824",Customers
9.0,Kylie Reed,bhill@watts.org,"7963 George Meadows
North John, CT 83278",Customers
10.0,Laura Brown,smithchristina@stephenson-lowe.com,"82644 Chen Plains
Josephbury, ID 93778",Customers
11.0,Tammy Walton,ocollins@gmail.com,"955 Roberts Court
West Joshua, SC 69936",Customers
12.0,Christine Smith,hbeltran@rodriguez-wells.com,"0070 Michael Glen Apt. 833
Lake Christinebury, CO 43576",Customers
13.0,Edward Cox,riveratimothy@hotmail.com,"0910 Debra Trail
Timothyville, IL 54899",Customers
14.0,Donna Gutierrez,lhughes@lutz.com,"61858 Spencer Causeway
Lake Christopher, OH 78566",Customers
15.0,Tyler Johnson,jennifer08@yahoo.com,"887 Taylor Tunnel
Ortizborough, OH 49460",Customers
16.0,Don Steele,johnsondonna@hotmail.com,"62531 Derek Burgs
Martinezmouth, WV 48190",Customers
17.0,Destiny Carlson,tiffanywells@torres.net,"45853 Brittany Stravenue Suite 746
Tracifort, IL 63362",Customers
18.0,Jennifer Jackson,mhouston@hotmail.com,"5554 Jessica Coves Suite 774
Andrewbury, WI 39528",Customers
19.0,Valerie Hall,pamelaallen@ramirez-garcia.com,"408 Beck Plain
North Steven, MS 35533",Customers
20.0,Dana Osborn,natasha36@gmail.com,"299 Clark Estate Apt. 262
New Julie, OK 73576",Customers
21.0,Melissa Hart,hectorolson@underwood.com,"89741 Brandon Pines
West Charlesmouth, CT 78964",Customers
22.0,Monica Olsen,anne85@lee.com,"126 Carol Row Suite 880
Brownburgh, CT 02026",Customers
